r	n	Time (s)
4	50	0.16498756408691406
4	150	0.6376073360443115
4	250	1.519899606704712
4	350	2.8413689136505127
4	450	4.5168445110321045
4	550	6.585566759109497
4	650	9.155229806900024
4	750	12.015028953552246
4	850	15.309513807296753
4	950	19.071739435195923
4	1050	23.17384386062622
4	1150	27.970231533050537
4	1250	32.82887935638428
4	1350	38.370410442352295
4	1450	44.129557847976685
4	1550	50.46663045883179
4	1650	57.73226284980774
4	1750	64.54008936882019
4	1850	72.6321496963501
4	1950	80.69171190261841
4	2050	89.36706757545471
4	2150	98.64797592163086
4	2250	108.11437034606934
4	2350	118.44974374771118
4	2450	128.92631649971008
4	2550	140.09167623519897
4	2650	151.0474042892456
4	2750	163.71340250968933
4	2850	175.17576670646667
4	2950	188.40327954292297
5	50	0.3403499126434326
5	150	0.8132071495056152
5	250	1.701383352279663
5	350	3.0646510124206543
5	450	4.720089912414551
5	550	6.78640079498291
5	650	9.260265111923218
5	750	12.278639078140259
5	850	15.783040523529053
5	950	19.530802965164185
5	1050	23.811899185180664
5	1150	28.217114686965942
5	1250	33.237510681152344
5	1350	38.96776986122131
5	1450	44.74412560462952
5	1550	51.16374754905701
5	1650	58.49657702445984
5	1750	65.34200882911682
5	1850	73.47604942321777
5	1950	81.21302366256714
5	2050	90.4541642665863
5	2150	99.5915117263794
5	2250	110.01500082015991
5	2350	120.20140242576599
5	2450	129.7611951828003
5	2550	140.48741579055786
5	2650	151.83857989311218
5	2750	163.93514800071716
5	2850	175.91801762580872
5	2950	189.85662817955017
6	50	0.6969051361083984
6	150	1.2336061000823975
6	250	2.101210832595825
6	350	3.4242711067199707
6	450	5.10432243347168
6	550	7.261112451553345
6	650	9.74520754814148
6	750	12.730822086334229
6	850	16.436978578567505
6	950	19.93279480934143
6	1050	24.246002435684204
6	1150	28.873692274093628
6	1250	33.91101813316345
6	1350	39.8700909614563
6	1450	46.11302399635315
6	1550	52.496806383132935
6	1650	59.52634358406067
6	1750	67.24048638343811
6	1850	75.27567291259766
6	1950	83.5196099281311
6	2050	92.25020980834961
6	2150	102.14179682731628
6	2250	110.53680086135864
6	2350	121.40759110450745
6	2450	131.5803782939911
6	2550	142.50860404968262
6	2650	153.5332100391388
6	2750	165.87061285972595
6	2850	179.8856761455536
6	2950	192.36083674430847
